T_name,T_url,Name,Link,Headline
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Lee Hower,,Co-Founder & Partner - NextView Ventures
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Frank Boosman,,"VP Product Marketing - udu, Inc."
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Nick Grouf,,Member Board Of Directors - The Baby Box Company
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Ralph Terkowitz,,Board Member - PowerReviews
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Hylton Jolliffe,,Founder - The House of Zeus
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Christopher Alden,,Board Member - Hapara
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Misha Katz,,Principal - Katz Digital
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Anne Thomas,,"VP & Distinguished Analyst - Gartner, Inc."
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Geoffrey Hyatt,,Game Designer - Naked Truth
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Michael Yoon,,Director - Advisory Board Company
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Wilbur Swan,,"Vice President, Enterprise Content Platform - Thomson Reuters"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Charley Lax,,Managing General Partner - GrandBanks Capital
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Hussein Kanji,,Non Executive Director - Yieldify
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Barney Pell,,ML7 Fellow - Creative Destruction Lab
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Francois Gossieaux,,President and co-founder - Local Captures
Chip Hazard,https://www.linkedin.com/in/chiphazard/,John Palfrey,,Head of School - Phillips Academy
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Rob McCormack,,Managing Director - Covalent Capital
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Ira Ehrenpreis,,Managing Partner - DBL Partners
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Andrew Beebe,,Managing Director - Obvious Ventures
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Paige Arnof-Fenn,,Founder & CEO - Mavens & Moguls
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Katie Burke Mitic,,Co-Founder & CEO - Sitch
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Angus Davis,,Founder & CEO - Upserve
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Michael P. Bettua,,CEO and Co-Founder - Gemio
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Julie Ginches,,Chief Marketing Officer - ViralGains
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jon Chait,,Partner - Dace Ventures (Consumer Marketing & New Media)
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Dave Boyce,,SVP Product & Strategy - InsideSales.com
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Eric Paley,,Managing Partner - Founder Collective
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Phil Carpenter,,EVP + Managing Director - PAN Communications
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Ken Sawyer,,Founder and Managing Director - Saints Capital
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Marc Camm,,Chief Operating Officer - CarePort Health - An Allscripts Company
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Dave Whorton,,CEO and Founder - The Tugboat Group
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Mike Sigal,,Partner - 500 Startups
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Marc Goldberg,,Member of the Board of Directors - Youmiam
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Lara Druyan,,"Managing Director, Head of Innovation, West Coast - RBC"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Andy Palmer,,Co-Founder & CEO - Tamr
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Chris Shipley,,"Author, Advisor - Work to Learn"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Matt Asay,,"VP, Mobile - Adobe"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Eric Jackson,,"CEO, Co-Founder - CapLinked"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Robert Poor,,Chairman & Founder - Cool Energy World
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Roger Lee,,General Partner - Battery Ventures
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Amol Sarva,,Co-founder and CEO - Knotel
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jeff Crown,,President - The Crown Group (partnership with BEMER GROUP)
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jim Chung,,"Associate Vice President for Research, Innovation and Entrepreneurship - George Washington University"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Carol Carpenter,,"VP Product Marketing, Google Cloud - Google"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Venky Ganesan,,Managing Director - Menlo Ventures
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Josh Wolfe,,Board Member - Kallyope
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Brad Feld,,Managing Director - Foundry Group
Chip Hazard,https://www.linkedin.com/in/chiphazard/,John Fanning,,Chairman - Netcapital
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Ron Schreiber,,Director - Turbulent Energy
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jordan Levy,,"Board Member - Take2 Consulting, LLC"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Sramana Mitra,,Founder & CEO - One Million by One Million (1M/1M) - 1Mby1M.com
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Malcolm Campbell,,Managing Director - I&M Industries
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Ray Conley,,Managing Director - Finance Technology Leverage LLC
Chip Hazard,https://www.linkedin.com/in/chiphazard/,"Eric Woo, CFA",,Principal - Top Tier Capital Partners
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Brian Shin,,"Founder / Chairman - MustBin, Inc"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Chuck Digate,,Senior Vice President - NantHealth
